route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"RWS",1,2265,"Rockaway",20119,0,201,27
"RWS",1,2266,"Rockaway",20121,0,201,27
"RWS",1,2267,"Rockaway",20123,0,201,27
"RWS",1,2268,"Rockaway",20125,0,201,27
"RWS",1,2269,"Rockaway",20127,0,201,27
"RWS",1,2270,"Rockaway",20129,0,201,27
"RWS",1,2271,"Rockaway West",20102,1,201,38
"RWS",1,2272,"Rockaway West",20104,1,201,38
"RWS",1,2273,"Rockaway West",20106,1,201,38
"RWS",1,2274,"Rockaway West",20108,1,201,38
"RWS",1,2275,"Rockaway West",20110,1,201,38
"RWS",1,2276,"Rockaway West",20112,1,201,38
"RWS",1,2277,"Rockaway West",20114,1,201,38
"RWS",1,2278,"Rockaway West",20116,1,201,38
"RWS",1,2279,"Rockaway West",20118,1,201,38
"RWS",1,2280,"Rockaway West",20120,1,201,38
"RWS",1,2281,"Rockaway West",20122,1,201,38
"RWS",1,2282,"Rockaway West",20124,1,201,38
"RWS",1,2283,"Rockaway West",20126,1,201,38
"RWS",1,2284,"Rockaway West",20128,1,201,38
"RWS",1,2285,"Rockaway West",20130,1,201,38
"RWS",1,2286,"Rockaway West",20131,1,201,38
"RWS",2,2287,"Rockaway",20101,0,201,4
"RWS",2,2289,"Rockaway",20103,0,201,4
"RWS",2,2290,"Rockaway",20105,0,201,4
"RWS",2,2291,"Rockaway",20107,0,201,4
"RWS",2,2292,"Rockaway",20109,0,201,4
"RWS",2,2293,"Rockaway",20111,0,201,4
"RWS",2,2294,"Rockaway",20113,0,201,4
"RWS",2,2295,"Rockaway",20115,0,201,4
"RWS",2,2296,"Rockaway",20117,0,201,4
"RWS",2,2297,"Rockaway",20119,0,201,4
"RWS",2,2298,"Rockaway",20121,0,201,4
"RWS",2,2299,"Rockaway West",20102,1,201,70
"RWS",2,2300,"Rockaway West",20104,1,201,70
"RWS",2,2301,"Rockaway West",20106,1,201,70
"RWS",2,2302,"Rockaway West",20108,1,201,70
"RWS",2,2303,"Rockaway West",20110,1,201,70
"RWS",2,2304,"Rockaway West",20112,1,201,70
"RWS",2,2305,"Rockaway West",20114,1,201,70
"RWS",2,2306,"Rockaway West",20116,1,201,70
"RWS",2,2307,"Rockaway West",20118,1,201,70
"RWS",2,2308,"Rockaway West",20120,1,201,70
"RWS",2,2309,"Rockaway West",20122,1,201,70
"RWS",2,2310,"Rockaway West",20123,1,201,70
"SG",1,2311,"St. George",8102,0,81,71
"SG",1,2312,"St. George",8202,0,82,71
"SG",1,2313,"St. George",8302,0,83,71
"SG",1,2314,"St. George",8104,0,81,71
"SG",1,2315,"St. George",8204,0,82,71
"SG",1,2316,"St. George",8304,0,83,71
"SG",1,2317,"St. George",8106,0,81,71
"SG",1,2318,"St. George",8306,0,83,71
"SG",1,2319,"St. George",8108,0,81,71
"SG",1,2320,"St. George",8308,0,83,71
"SG",1,2321,"St. George",8110,0,81,71
"SG",1,2322,"St. George",8310,0,83,71
"SG",1,2323,"St. George",8112,0,81,71
"SG",1,2324,"St. George",8312,0,83,71
"SG",1,2325,"St. George",8114,0,81,71
"SG",1,2326,"St. George",8314,0,83,71
"SG",1,2327,"St. George",8206,0,82,71
"SG",1,2328,"St. George",8116,0,81,71
"SG",1,2329,"St. George",8316,0,83,71
"SG",1,2330,"St. George",8208,0,82,71
"SG",1,2331,"St. George",8118,0,81,71
"SG",1,2332,"St. George",8318,0,83,71
"SG",1,2333,"St. George",8210,0,82,71
"SG",1,2334,"St. George",8320,0,83,71
"SG",1,2335,"St. George",8212,0,82,71
"SG",1,2336,"Midtown West/W 39th St-Pier 79",8101,1,81,16
"SG",1,2337,"Midtown West/W 39th St-Pier 79",8201,1,82,16
"SG",1,2338,"Midtown West/W 39th St-Pier 79",8301,1,83,16
"SG",1,2339,"Midtown West/W 39th St-Pier 79",8103,1,81,16
"SG",1,2340,"Midtown West/W 39th St-Pier 79",8203,1,82,16
"SG",1,2341,"Midtown West/W 39th St-Pier 79",8303,1,83,16
"SG",1,2342,"Midtown West/W 39th St-Pier 79",8105,1,81,16
"SG",1,2343,"Midtown West/W 39th St-Pier 79",8205,1,82,16
"SG",1,2344,"Midtown West/W 39th St-Pier 79",8305,1,83,16
"SG",1,2345,"Midtown West/W 39th St-Pier 79",8107,1,81,16
"SG",1,2346,"Midtown West/W 39th St-Pier 79",8307,1,83,16
"SG",1,2347,"Midtown West/W 39th St-Pier 79",8109,1,81,16
