trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
81,10:31:00,10:31:00,19,4,,0,0,1
81,10:40:00,10:40:00,8,5,,0,0,1
81,10:54:00,10:54:00,20,6,,0,0,1
81,10:58:00,10:58:00,87,7,,0,0,1
82,11:04:00,11:04:00,4,1,,0,0,1
82,11:12:00,11:12:00,17,2,,0,0,1
82,11:21:00,11:21:00,18,3,,0,0,1
82,11:31:00,11:31:00,19,4,,0,0,1
82,11:40:00,11:40:00,8,5,,0,0,1
82,11:54:00,11:54:00,20,6,,0,0,1
82,11:58:00,11:58:00,87,7,,0,0,1
83,11:28:00,11:28:00,4,1,,0,0,1
83,11:36:00,11:36:00,17,2,,0,0,1
83,11:45:00,11:45:00,18,3,,0,0,1
83,11:55:00,11:55:00,19,4,,0,0,1
83,12:04:00,12:04:00,8,5,,0,0,1
83,12:18:00,12:18:00,20,6,,0,0,1
83,12:22:00,12:22:00,87,7,,0,0,1
84,11:52:00,11:52:00,4,1,,0,0,1
84,12:00:00,12:00:00,17,2,,0,0,1
84,12:09:00,12:09:00,18,3,,0,0,1
84,12:19:00,12:19:00,19,4,,0,0,1
84,12:28:00,12:28:00,8,5,,0,0,1
84,12:42:00,12:42:00,20,6,,0,0,1
84,12:46:00,12:46:00,87,7,,0,0,1
85,12:16:00,12:16:00,4,1,,0,0,1
85,12:24:00,12:24:00,17,2,,0,0,1
85,12:33:00,12:33:00,18,3,,0,0,1
85,12:43:00,12:43:00,19,4,,0,0,1
85,12:52:00,12:52:00,8,5,,0,0,1
85,13:06:00,13:06:00,20,6,,0,0,1
85,13:10:00,13:10:00,87,7,,0,0,1
86,12:40:00,12:40:00,4,1,,0,0,1
86,12:48:00,12:48:00,17,2,,0,0,1
86,12:57:00,12:57:00,18,3,,0,0,1
86,13:07:00,13:07:00,19,4,,0,0,1
86,13:16:00,13:16:00,8,5,,0,0,1
86,13:30:00,13:30:00,20,6,,0,0,1
86,13:34:00,13:34:00,87,7,,0,0,1
87,13:04:00,13:04:00,4,1,,0,0,1
87,13:12:00,13:12:00,17,2,,0,0,1
87,13:21:00,13:21:00,18,3,,0,0,1
87,13:31:00,13:31:00,19,4,,0,0,1
87,13:40:00,13:40:00,8,5,,0,0,1
87,13:54:00,13:54:00,20,6,,0,0,1
87,13:58:00,13:58:00,87,7,,0,0,1
88,06:24:00,06:24:00,87,1,,0,0,1
88,06:32:00,06:32:00,20,2,,0,0,1
88,06:44:00,06:44:00,8,3,,0,0,1
88,06:52:00,06:52:00,19,4,,0,0,1
88,07:00:00,07:00:00,18,5,,0,0,1
88,07:08:00,07:08:00,17,6,,0,0,1
88,07:12:00,07:12:00,4,7,,0,0,1
89,06:46:00,06:46:00,87,1,,0,0,1
89,06:54:00,06:54:00,20,2,,0,0,1
89,07:06:00,07:06:00,8,3,,0,0,1
89,07:14:00,07:14:00,19,4,,0,0,1
89,07:22:00,07:22:00,18,5,,0,0,1
89,07:30:00,07:30:00,17,6,,0,0,1
89,07:34:00,07:34:00,4,7,,0,0,1
90,07:08:00,07:08:00,87,1,,0,0,1
90,07:16:00,07:16:00,20,2,,0,0,1
90,07:28:00,07:28:00,8,3,,0,0,1
90,07:36:00,07:36:00,19,4,,0,0,1
90,07:44:00,07:44:00,18,5,,0,0,1
90,07:52:00,07:52:00,17,6,,0,0,1
90,07:56:00,07:56:00,4,7,,0,0,1
91,07:30:00,07:30:00,87,1,,0,0,1
91,07:38:00,07:38:00,20,2,,0,0,1
91,07:50:00,07:50:00,8,3,,0,0,1
91,07:58:00,07:58:00,19,4,,0,0,1
91,08:06:00,08:06:00,18,5,,0,0,1
91,08:14:00,08:14:00,17,6,,0,0,1
91,08:18:00,08:18:00,4,7,,0,0,1
92,07:52:00,07:52:00,87,1,,0,0,1
